"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006530,,749,,6,3,5,6,2,0,2,4,6,5,6,5,7,4,9,6,10,4,6,18,22,14,18,21,23,21,8,14,8,14,13,9,12,8,8,8,10,11,8,10,9,3,8,9,7,7,10,7,13,11,17,10,15,15,11,16,8,8,9,10,13,10,12,6,13,8,7,3,10,5,11,5,7,5,3,5,1,4,10,3,2,2,8,4,3,2,2,5,0,0,3
S01006531,,944,,8,8,12,7,4,11,4,8,8,10,5,13,10,8,9,15,14,19,13,13,30,22,31,23,17,24,18,12,17,11,11,10,15,13,15,8,16,12,9,15,11,9,10,16,14,7,10,14,8,6,17,13,4,14,7,9,10,7,1,16,12,9,11,10,11,8,8,3,8,6,4,6,8,5,11,9,8,5,7,9,8,6,8,6,9,3,1,4,1,3,6
S01006532,,740,,7,9,5,7,9,8,10,3,3,6,5,8,2,3,5,7,7,7,4,11,15,6,9,7,5,5,7,9,8,5,11,13,11,3,13,2,13,13,11,13,10,4,7,9,16,11,11,11,11,11,10,11,10,11,8,7,8,7,12,4,13,7,5,7,14,4,6,10,7,11,9,13,6,8,4,6,3,11,5,4,12,6,6,11,4,6,9,4,4,6,25
S01006533,,706,,8,12,10,7,6,4,6,8,5,4,5,6,8,10,9,13,5,11,5,10,5,7,10,7,8,7,5,2,10,3,4,8,10,7,9,11,10,14,8,12,9,4,12,10,12,15,9,13,5,18,10,10,12,15,19,17,11,10,15,8,12,10,11,7,6,4,8,7,6,8,3,5,8,7,7,3,4,0,8,2,8,5,3,3,6,1,4,3,1,0,3
S01006534,,913,,6,12,13,14,11,12,13,15,14,9,12,8,12,9,10,9,12,9,6,6,4,3,9,6,13,11,11,5,7,16,12,16,10,16,12,20,14,13,12,15,17,17,25,16,15,13,19,17,14,15,10,10,19,18,13,10,9,13,7,8,8,10,12,10,16,6,7,4,9,10,9,6,7,4,7,4,7,4,4,9,7,4,6,1,2,5,7,3,1,1,1
S01006535,,"1,038",,15,7,14,5,14,12,10,6,7,5,4,3,4,6,3,7,8,6,11,10,18,10,14,22,38,28,38,28,32,28,31,26,34,20,16,17,24,18,11,21,20,15,20,12,15,10,7,20,12,16,9,13,11,15,12,8,17,9,13,10,6,8,4,14,9,9,4,4,7,6,6,3,6,9,3,13,3,6,5,2,2,1,1,2,3,2,3,1,1,0,0
S01006536,,"1,016",,21,7,9,8,7,6,3,10,3,4,3,3,2,5,4,4,4,2,9,20,21,20,32,30,36,32,40,32,37,41,38,25,27,24,17,16,14,14,21,11,14,17,25,11,8,13,11,16,11,16,8,5,13,5,15,12,11,8,3,6,5,6,6,10,13,6,4,9,4,6,4,2,7,5,3,2,2,1,2,6,1,1,1,1,2,1,1,4,4,4,3
S01006537,,758,,5,8,8,8,4,9,7,4,5,9,8,10,12,8,4,8,4,7,10,6,3,6,3,6,8,8,6,1,5,4,3,6,12,6,5,7,7,7,9,12,12,15,13,6,5,6,16,16,13,9,13,15,13,10,12,13,7,7,10,9,11,7,12,15,11,11,9,10,14,14,8,13,13,15,8,11,7,7,10,11,7,10,7,5,1,3,5,3,4,4,4
S01006538,,562,,5,8,6,4,5,9,4,7,5,6,9,5,3,5,3,3,6,4,7,8,4,11,2,9,2,2,3,0,3,2,5,3,2,10,6,9,6,10,7,11,8,7,6,5,6,10,9,13,7,6,9,11,7,12,8,8,8,12,11,3,7,8,7,8,11,11,7,9,3,6,1,4,7,11,5,6,6,10,8,11,7,6,2,5,4,1,1,2,1,1,1
S01006539,,744,,6,11,6,9,8,8,9,5,7,5,5,8,9,7,7,6,10,6,6,4,8,5,3,9,5,5,6,7,2,9,8,7,8,10,9,7,11,10,12,12,10,13,8,8,13,11,8,9,9,6,9,8,16,12,14,15,11,10,8,10,9,6,13,15,16,6,9,7,6,8,8,10,10,5,7,4,8,13,11,5,4,7,4,6,4,4,4,3,5,7,17
