"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01010758,,704,,4,2,6,2,4,6,4,5,9,4,9,8,8,8,10,7,8,12,9,13,3,3,3,9,5,6,8,4,3,3,7,7,4,1,6,9,5,5,3,9,6,11,6,14,10,6,10,14,11,9,8,8,12,7,13,9,9,5,9,11,10,18,16,16,13,7,7,12,11,9,5,12,15,15,8,10,4,10,4,5,10,7,3,7,8,4,5,5,2,3,14
S01010759,,604,,5,8,5,4,6,8,7,7,2,4,9,5,11,10,9,14,3,14,11,9,2,5,8,7,6,1,6,10,8,7,7,9,12,12,8,5,7,5,6,5,11,11,9,8,9,7,6,5,6,6,8,12,6,11,11,9,4,8,5,5,7,7,10,7,5,6,7,8,7,7,5,5,5,12,4,8,6,8,3,5,4,2,3,5,1,1,3,0,2,0,7
S01010760,,629,,7,6,7,4,7,4,3,0,4,8,2,4,6,5,6,6,4,4,7,6,6,4,1,3,6,7,4,7,4,6,7,6,8,6,4,5,5,4,4,5,8,5,0,6,9,6,8,4,2,9,9,5,6,6,7,9,9,14,5,9,8,6,9,13,11,12,11,13,11,13,9,7,7,8,7,8,5,13,10,14,4,13,8,5,10,6,4,5,8,4,29
S01010761,,530,,4,4,2,4,4,8,4,8,4,7,7,4,8,6,12,7,4,6,6,5,5,2,7,7,2,2,7,5,11,2,3,4,4,6,2,2,6,1,8,6,7,4,8,3,20,6,8,5,10,6,9,8,11,7,18,10,9,4,4,10,7,10,6,12,8,12,5,10,9,5,5,7,4,7,10,6,2,5,5,4,2,5,1,4,2,0,2,2,0,0,0
S01010762,,603,,6,5,5,3,5,5,7,4,2,6,5,8,13,11,5,10,8,8,8,6,2,2,2,5,4,2,8,0,4,3,5,2,7,3,7,10,8,6,8,6,10,6,6,7,6,12,12,13,15,7,10,11,10,9,9,11,8,8,8,5,12,11,7,9,17,11,6,7,11,8,7,7,5,5,9,9,5,6,6,3,3,8,3,4,5,1,2,2,2,0,5
S01010763,,668,,4,9,9,5,9,4,10,9,4,16,7,10,9,10,10,5,9,7,10,7,9,3,5,2,3,3,8,4,4,7,7,4,3,6,5,4,2,3,7,10,4,11,6,8,8,10,11,12,7,9,17,19,7,6,11,13,7,9,6,19,14,7,9,10,14,11,9,8,6,10,6,6,11,5,7,7,6,6,2,6,6,6,4,5,7,4,3,5,3,1,2
S01010764,,584,,0,6,3,5,5,3,4,6,7,4,6,4,8,5,10,3,6,2,4,8,4,4,2,0,6,0,4,2,4,3,6,2,1,0,0,4,6,3,8,7,6,7,2,6,7,13,5,12,11,10,11,12,12,14,14,15,12,6,8,6,11,5,10,18,22,11,8,14,7,9,13,8,8,11,7,5,7,4,4,6,6,1,7,3,5,3,3,2,3,0,9
S01010765,,"1,005",,6,11,10,9,9,6,12,3,8,6,6,7,16,15,20,11,9,12,8,10,8,6,6,9,2,11,15,4,4,6,1,7,13,4,6,6,10,6,12,14,10,12,14,11,8,16,21,7,15,15,13,20,19,20,21,17,17,12,21,15,10,10,20,27,23,16,22,23,23,18,11,9,11,17,7,14,10,6,12,9,9,9,7,6,4,3,3,2,1,3,12
S01010766,,785,,7,6,6,7,8,5,8,2,13,10,6,11,10,9,7,14,12,12,5,8,6,7,8,12,10,2,8,3,8,5,9,7,4,4,4,3,6,10,7,9,8,6,11,8,13,10,10,12,8,7,10,22,17,13,15,8,7,11,13,17,11,17,10,15,8,7,12,11,10,8,15,9,9,15,10,10,6,10,4,5,8,10,5,4,3,10,3,5,0,4,7
S01010767,,702,,4,5,7,8,12,12,8,6,6,9,4,6,10,4,12,8,8,8,7,6,7,10,7,9,10,5,2,1,11,5,14,9,8,9,3,2,6,5,2,8,7,5,9,9,16,11,11,4,11,12,10,10,8,10,13,4,6,7,14,12,6,8,8,15,16,4,14,14,13,11,17,12,8,5,4,6,7,7,4,9,5,4,10,2,4,3,2,0,3,4,5
S01010768,,586,,9,9,8,9,4,7,2,1,3,4,10,6,2,7,5,3,13,8,7,3,6,7,3,10,5,2,4,5,3,6,0,4,7,7,3,0,6,5,7,7,7,5,14,7,6,15,7,3,6,8,7,4,6,7,11,6,9,5,11,6,7,6,11,7,11,11,6,12,14,8,8,9,13,11,7,1,7,6,5,6,5,7,8,2,5,7,5,1,1,2,10
S01010769,,485,,3,2,4,4,4,1,5,1,6,2,1,4,2,5,8,4,5,5,8,3,1,1,6,5,5,2,6,2,0,2,3,2,2,2,4,6,0,2,2,2,3,5,6,6,7,10,4,7,6,6,12,17,13,9,13,12,12,10,10,8,16,8,11,8,13,9,5,11,11,13,5,3,9,3,8,6,2,3,6,4,1,5,4,1,2,1,2,3,1,0,3
S01010770,,875,,10,4,15,13,11,4,10,8,5,10,13,10,7,16,12,9,8,12,7,12,6,11,10,7,9,10,4,6,13,11,6,7,10,7,11,8,6,9,10,7,7,6,11,13,14,15,20,13,12,18,12,15,19,16,18,12,5,19,12,14,20,10,21,14,11,12,10,11,9,6,10,12,4,10,7,5,8,7,3,8,6,5,5,1,2,5,3,0,1,2,12
S01010771,,880,,6,8,5,5,8,7,10,5,7,12,7,8,9,4,6,9,7,9,7,2,5,4,8,3,13,6,3,6,7,7,10,6,7,3,2,5,8,5,6,6,9,8,6,14,14,16,15,17,16,19,12,16,22,16,10,10,13,15,17,19,11,11,18,17,17,14,14,14,10,13,18,17,13,6,13,8,12,17,11,11,8,8,7,6,8,9,6,7,4,2,5
S01010772,,774,,3,6,7,2,2,1,9,6,7,0,5,4,3,2,5,7,8,8,7,7,4,9,2,9,7,3,3,5,4,1,6,7,6,5,4,7,4,4,6,6,9,10,11,15,14,9,6,22,19,12,23,11,20,11,7,12,13,10,17,18,9,18,22,16,19,20,13,15,22,10,8,18,16,8,10,6,6,6,5,7,4,3,9,0,5,7,3,1,7,2,9
S01010773,,796,,8,8,11,4,11,9,6,8,9,9,6,6,7,8,13,7,6,5,6,4,7,6,2,6,3,15,5,7,4,7,9,7,4,2,6,11,10,10,9,11,11,14,12,11,14,10,17,17,18,8,15,7,21,11,13,10,12,12,11,12,22,19,16,8,15,15,17,14,9,13,11,11,7,5,9,7,4,4,4,9,4,4,1,3,1,5,1,3,1,0,6
S01010774,,707,,4,7,5,6,11,6,7,8,7,14,7,5,11,5,14,7,5,9,12,4,4,12,6,5,9,5,7,4,2,6,5,3,7,3,4,3,2,13,10,3,6,7,15,15,8,12,10,16,8,13,9,12,19,17,8,8,8,11,10,18,13,8,12,16,15,9,11,15,9,3,8,9,4,12,5,9,2,5,1,3,2,6,9,5,3,1,1,4,2,1,7
S01010775,,650,,11,3,7,10,4,6,7,7,14,10,6,8,4,6,10,8,5,8,7,4,7,4,12,8,9,6,1,7,6,8,10,8,8,5,6,4,10,13,11,14,10,10,10,12,11,11,7,8,12,19,7,9,5,13,13,10,18,11,6,5,11,10,9,11,8,9,9,7,4,4,7,4,2,10,4,4,4,4,2,4,7,1,1,1,0,0,1,1,2,0,0
S01010776,,542,,9,8,5,7,4,6,7,2,6,3,5,6,3,3,7,9,0,4,11,4,7,10,5,6,5,10,10,6,7,10,10,9,9,8,5,7,5,7,4,4,5,16,6,3,5,4,8,11,7,2,7,6,5,10,5,2,9,11,5,6,7,7,11,13,9,6,4,3,6,6,4,5,3,5,12,9,8,1,3,2,5,4,3,3,4,2,2,0,4,2,3
S01010777,,518,,5,5,8,6,3,3,6,4,4,4,2,1,2,3,4,5,5,4,10,16,8,8,4,5,9,10,6,7,6,7,5,7,9,1,1,3,8,8,6,5,4,6,3,7,7,8,11,9,4,4,6,7,6,6,14,6,5,9,8,8,2,12,9,9,7,5,4,6,0,3,6,6,9,3,6,3,13,3,6,5,3,4,2,3,7,6,0,4,2,2,7
S01010778,,502,,11,7,6,6,7,11,5,8,8,4,11,6,8,3,10,9,14,13,11,8,9,4,11,7,7,10,7,12,7,10,5,8,4,2,4,8,2,6,1,5,7,6,8,12,7,5,5,7,11,9,12,7,3,9,2,4,8,8,3,6,5,7,7,2,5,5,4,2,2,2,2,5,1,1,3,3,1,3,0,3,2,0,1,0,0,1,0,0,0,0,1
S01010779,,758,,14,8,4,7,11,11,6,9,12,9,13,12,8,9,10,13,4,15,17,12,6,9,9,15,12,12,12,15,9,8,3,5,8,4,7,7,3,10,10,14,7,8,10,12,11,14,8,11,12,9,6,16,8,14,10,13,6,7,13,6,6,4,10,7,15,8,7,8,11,9,11,7,6,10,8,5,3,8,3,2,5,3,2,1,4,1,1,3,0,2,5
S01010780,,573,,4,4,6,3,5,8,8,6,6,4,4,4,6,5,6,11,8,7,5,7,7,5,4,8,7,5,6,9,5,5,5,4,2,6,3,6,1,7,7,13,3,9,4,7,9,5,12,8,13,13,8,9,7,10,11,7,13,9,7,4,6,10,10,3,12,6,5,4,9,4,7,4,9,6,5,9,11,5,3,4,4,10,3,7,4,3,1,0,3,3,3
S01010781,,763,,6,10,2,9,10,11,5,8,6,3,9,8,6,13,7,10,11,10,13,12,7,8,12,14,6,7,10,10,7,11,14,3,13,10,4,9,13,5,7,9,11,9,12,10,12,17,16,11,14,12,17,12,11,12,14,14,11,5,5,10,8,9,16,14,14,6,9,8,11,8,6,8,10,5,4,3,5,8,4,4,2,1,3,3,0,1,0,2,2,0,6
S01010782,,617,,9,6,7,9,4,11,4,5,7,2,7,7,7,8,6,9,6,13,6,2,7,4,11,2,7,4,3,9,11,6,5,9,7,4,8,7,10,0,4,12,11,6,7,7,3,10,13,9,3,14,7,9,12,12,13,9,3,9,6,4,4,8,13,13,10,3,6,10,8,10,3,9,2,4,6,4,8,5,7,7,4,4,3,6,3,6,4,3,1,2,9
S01010783,,558,,13,4,8,8,7,7,4,5,4,7,4,2,6,5,2,6,3,6,13,11,8,15,6,13,9,9,5,6,6,6,8,10,7,5,9,3,2,7,5,5,7,7,11,9,7,5,12,10,7,4,6,4,6,13,5,9,8,12,7,6,7,4,2,4,8,5,5,7,6,7,9,6,9,7,2,4,5,8,3,7,5,1,1,2,2,1,0,0,0,4,3
S01010784,,737,,8,13,14,16,10,5,8,14,8,11,12,9,7,8,6,7,11,14,11,8,8,14,11,10,10,7,16,11,14,14,8,12,4,6,9,5,10,7,10,6,14,8,9,14,14,19,14,9,3,8,7,8,10,11,10,11,8,5,6,7,14,6,8,9,4,9,7,3,6,2,11,0,6,6,3,2,9,5,5,2,7,3,6,3,2,1,4,1,2,1,3
S01010785,,693,,9,7,5,7,7,8,8,6,3,4,10,7,7,7,3,12,7,8,7,11,4,6,10,8,8,8,7,4,7,7,10,8,4,5,8,7,7,5,7,7,7,6,4,10,11,17,4,18,10,6,24,10,14,9,17,13,12,16,4,9,9,15,14,11,18,11,4,6,3,12,7,7,12,4,8,8,12,3,4,8,4,2,3,0,2,1,1,2,0,0,1
S01010786,,699,,15,4,3,5,9,5,10,7,18,12,11,8,14,9,12,18,12,15,7,8,1,7,7,2,9,4,5,2,7,10,7,5,5,15,7,7,8,8,5,16,13,14,14,8,14,9,16,10,12,8,8,10,11,12,7,7,13,6,10,10,7,8,12,6,6,5,3,5,6,3,6,11,2,7,5,5,9,2,6,2,2,4,6,6,0,2,4,2,4,0,2
S01010787,,910,,12,7,13,10,16,15,12,13,11,12,10,12,12,7,8,7,11,16,6,4,7,7,6,4,8,5,7,4,9,5,9,10,7,11,10,17,7,10,11,7,13,14,10,10,11,18,20,18,13,15,15,10,13,11,13,16,11,14,13,15,12,17,19,14,21,13,10,14,15,10,6,12,10,8,3,12,12,4,6,10,1,3,9,4,6,2,3,0,1,2,3
S01010788,,633,,6,7,6,8,8,4,8,8,6,7,10,7,6,6,12,11,7,9,10,6,2,3,7,5,3,13,9,12,5,9,9,5,5,7,5,2,3,7,5,9,8,11,6,10,14,12,10,8,17,11,9,15,11,11,14,11,8,9,15,7,5,10,8,8,10,4,8,6,6,9,6,4,5,1,4,4,4,1,5,2,4,4,7,1,5,2,0,2,1,2,1
S01010789,,743,,10,10,13,5,12,9,9,9,7,10,11,5,9,10,10,8,15,11,11,4,7,8,6,11,9,6,8,7,6,1,10,7,12,12,7,13,5,8,10,8,11,8,12,13,11,10,16,14,7,7,15,13,6,10,8,8,3,6,4,6,21,19,10,17,12,15,8,9,9,12,6,13,7,4,4,5,5,6,3,5,1,4,1,0,0,1,2,0,0,3,4
S01010790,,663,,5,6,3,4,6,5,4,7,7,8,7,9,6,7,7,7,10,12,6,5,8,2,5,6,5,6,2,4,12,6,7,8,5,4,4,5,6,3,5,4,10,9,11,20,13,11,11,7,12,10,11,7,6,16,7,13,6,13,13,12,11,7,19,13,15,10,16,10,9,9,4,8,6,8,4,2,4,4,6,5,3,3,8,7,3,3,4,1,1,2,2
S01010791,,826,,1,9,11,6,7,8,6,9,6,9,10,6,7,6,8,5,10,8,12,5,7,5,11,9,3,7,3,8,2,10,7,10,5,10,7,8,15,12,9,4,7,9,4,12,9,15,17,9,6,12,21,13,13,13,11,8,18,17,13,18,10,15,18,13,19,14,13,15,18,11,15,17,10,10,6,9,11,10,6,10,6,4,6,3,1,0,0,5,0,4,1
S01010792,,616,,5,7,9,6,6,8,6,12,9,8,10,6,14,9,8,9,9,9,6,11,4,4,5,8,4,7,8,6,4,5,11,7,12,5,6,11,3,5,6,8,10,4,10,9,4,17,20,8,8,10,4,13,8,11,11,8,6,11,9,5,7,8,5,9,11,12,4,10,9,7,4,7,2,4,6,0,5,5,4,1,1,2,0,3,2,1,2,0,0,0,3
S01010793,,654,,6,7,5,7,5,11,3,13,3,8,11,11,10,6,7,6,8,8,4,3,4,5,2,3,6,1,5,4,6,3,7,2,4,5,7,10,11,4,9,18,14,13,16,9,7,4,15,12,17,15,10,10,12,6,6,11,12,9,9,10,11,9,16,8,9,9,9,14,11,8,9,5,6,6,2,4,4,5,4,4,6,3,3,1,4,2,2,2,0,1,2
S01010794,,557,,10,5,4,10,2,5,6,3,10,7,5,7,17,4,10,7,7,7,10,6,4,4,2,8,4,9,6,8,12,9,7,13,3,7,6,6,5,4,10,5,9,9,19,19,8,10,7,11,10,11,12,8,5,8,7,3,4,6,3,4,6,8,7,5,5,7,6,8,3,7,7,4,5,4,4,3,1,5,4,1,1,0,2,2,1,0,0,1,1,0,2
S01010795,,991,,6,5,11,13,10,15,18,9,4,8,9,5,8,15,8,19,10,11,11,9,7,7,10,8,3,9,9,6,11,6,9,4,12,10,18,9,9,11,10,12,15,8,15,17,14,18,16,20,21,13,18,11,9,18,12,10,23,11,7,13,9,21,15,24,14,11,12,12,21,11,13,21,11,15,8,16,14,9,5,8,7,7,3,4,3,6,6,2,2,3,5
S01010796,,836,,6,6,11,13,5,14,14,10,8,5,9,5,12,11,9,12,7,15,10,7,3,7,4,5,2,8,5,8,3,14,10,9,7,3,7,12,15,12,16,14,10,11,11,9,11,15,16,7,10,22,12,19,22,17,16,16,11,15,12,9,12,10,8,8,16,13,9,13,11,10,12,8,13,5,12,11,4,5,8,3,4,2,4,2,0,2,2,1,0,1,3
S01010797,,759,,8,7,14,10,14,4,10,3,3,8,9,9,10,11,6,7,4,13,5,6,2,7,5,6,3,7,6,10,5,5,10,8,7,6,11,14,5,15,13,9,13,8,13,19,12,15,13,12,13,15,13,8,21,18,10,10,10,12,13,10,12,9,13,16,12,10,9,4,4,8,7,11,11,5,3,6,10,6,5,4,5,3,2,2,2,3,0,1,2,1,0
S01010798,,691,,8,7,2,7,3,12,6,6,6,11,5,6,7,9,8,7,10,9,5,4,4,3,3,3,2,4,7,7,8,3,6,3,4,8,5,3,6,8,8,12,7,7,10,6,15,9,8,14,11,17,12,12,13,6,14,13,16,11,13,9,11,10,8,12,11,11,8,11,11,7,8,7,9,8,7,6,5,4,14,4,7,5,3,5,3,3,6,4,6,2,7
S01010799,,887,,6,4,0,3,6,4,6,8,1,5,10,6,9,2,1,6,8,6,8,9,9,8,9,11,12,7,13,15,15,15,15,10,12,7,10,4,10,7,5,7,20,10,6,12,17,12,14,15,13,11,21,14,8,11,15,9,16,10,12,8,17,16,8,15,13,11,11,13,18,17,9,6,14,10,13,7,10,8,14,10,15,4,12,12,5,8,8,9,3,1,7
S01010800,,733,,8,8,14,11,12,6,7,8,6,5,5,6,3,9,8,3,10,9,4,14,9,10,5,13,5,7,9,10,26,11,5,12,6,6,7,8,6,12,14,8,10,14,6,9,17,10,10,9,7,11,15,12,13,8,14,8,4,6,14,9,6,9,6,11,10,7,11,10,6,6,5,7,7,6,4,3,9,8,7,6,4,8,2,9,5,2,4,2,0,1,1
S01010801,,709,,6,9,4,3,5,8,7,11,7,2,8,5,7,5,9,7,7,7,10,5,7,3,12,4,9,7,4,10,7,7,15,11,6,5,3,7,7,13,7,6,13,8,10,11,7,13,10,8,6,11,7,9,17,13,6,9,9,14,5,9,14,7,10,10,11,3,10,11,8,16,13,7,10,12,12,4,3,10,4,5,12,3,7,3,3,4,3,2,3,1,11
S01010802,,559,,6,8,7,7,4,2,4,4,7,6,5,4,4,3,7,6,9,4,4,7,6,6,9,6,16,5,8,12,14,5,12,5,8,9,6,8,9,5,2,5,4,6,8,8,10,11,8,6,12,8,7,6,14,6,5,11,8,5,8,5,7,5,8,2,4,14,3,2,6,4,2,7,3,10,6,7,6,7,4,6,3,3,4,2,3,2,3,1,1,1,3
S01010803,,604,,13,5,5,12,9,8,9,9,4,6,5,4,8,7,5,8,15,10,11,5,7,8,7,5,9,6,8,14,9,12,13,4,6,4,6,9,3,7,7,4,8,7,7,6,11,6,4,16,9,9,8,7,3,7,8,3,2,10,3,8,6,8,3,9,5,10,4,3,7,6,2,5,4,4,7,10,12,6,7,3,6,3,0,1,3,5,0,4,2,3,8
S01010804,,587,,0,3,5,4,3,4,2,8,3,7,5,9,6,8,10,11,10,11,7,4,3,7,0,8,5,7,6,6,4,4,4,6,8,2,3,2,6,6,4,5,4,10,10,10,4,14,6,10,12,16,9,15,17,12,9,9,8,9,10,7,7,6,6,9,2,8,4,8,6,6,5,10,8,13,7,9,7,10,5,6,4,2,0,5,4,3,1,0,4,1,4
S01010805,,845,,5,5,9,7,4,7,12,11,12,11,6,7,5,10,16,13,16,11,18,9,12,12,13,9,8,7,2,12,3,8,8,12,7,13,7,6,5,11,15,10,9,5,9,13,15,14,9,12,21,16,17,12,16,17,13,13,13,7,12,14,12,14,4,8,10,9,9,12,10,12,16,4,8,7,9,10,8,7,6,8,5,5,5,1,4,3,0,1,1,4,2
S01010806,,919,,13,11,10,10,8,17,14,6,9,15,11,9,12,19,12,11,3,10,21,19,12,12,16,18,7,21,19,7,18,9,11,9,9,6,8,15,7,7,14,10,9,14,19,15,14,8,17,9,13,10,11,14,10,10,15,14,12,14,14,17,10,9,10,8,9,10,8,9,5,8,9,5,9,9,5,6,4,9,7,6,2,3,4,4,3,3,3,0,1,4,3
S01010807,,586,,8,9,7,9,8,3,5,8,7,4,12,7,8,6,8,16,7,12,5,3,9,10,2,8,2,8,11,5,11,9,11,8,3,6,5,5,10,6,3,3,8,6,8,5,9,8,16,11,13,9,9,4,6,9,7,8,5,3,4,7,4,4,9,8,8,6,8,11,6,8,5,7,9,6,3,4,7,3,3,5,3,3,4,4,2,2,2,0,0,0,0
S01010808,,565,,6,7,4,6,5,7,12,6,10,13,4,16,9,14,7,12,9,9,7,3,5,4,3,9,3,2,11,9,10,9,8,7,3,5,4,6,5,8,8,6,7,4,10,11,6,2,9,6,8,11,12,9,10,7,9,12,3,7,8,5,4,5,4,5,15,5,8,4,5,8,0,3,7,3,7,3,3,2,4,3,2,1,2,0,2,2,4,0,3,0,4
S01010809,,773,,6,3,16,5,8,2,6,10,3,5,3,8,4,7,9,2,10,8,10,9,4,2,8,8,5,7,12,6,11,15,9,8,7,5,5,11,11,6,6,9,8,9,7,10,13,13,20,11,15,8,13,11,19,16,17,11,9,15,12,9,7,12,14,18,9,12,9,14,6,5,7,13,9,3,6,4,9,6,4,16,6,5,0,6,4,2,5,5,4,6,12
S01010810,,494,,1,1,1,4,6,4,4,9,3,4,4,3,7,1,5,6,3,6,5,6,4,3,5,3,3,3,5,2,5,4,2,2,2,5,5,7,5,4,0,6,3,5,11,9,0,11,4,5,10,11,7,7,9,8,8,8,6,7,11,11,9,7,15,4,12,11,8,13,6,10,8,6,6,9,5,6,3,5,5,3,5,5,1,4,3,1,4,4,1,3,3
S01010811,,856,,9,7,9,4,3,9,5,6,7,5,7,11,6,7,6,8,10,11,9,2,14,9,6,5,8,8,7,7,9,8,7,4,9,7,10,9,10,6,10,7,11,9,14,14,9,17,12,14,20,19,19,19,16,18,18,10,13,13,12,12,13,18,13,13,13,12,15,12,10,14,13,10,7,6,11,14,1,9,9,5,6,7,8,2,6,5,1,1,0,1,11
S01010812,,516,,2,2,3,4,10,6,7,7,7,5,3,5,5,7,4,11,4,8,3,8,1,2,3,6,3,3,3,8,2,1,4,3,6,2,3,5,3,5,6,5,8,9,7,9,10,12,8,6,8,7,12,2,9,8,13,6,10,9,9,13,11,7,8,8,5,13,4,2,7,4,7,6,6,5,5,5,4,6,5,5,4,2,6,2,1,1,5,5,0,2,5
S01010813,,534,,6,3,5,3,3,4,9,4,4,3,5,4,5,8,6,7,7,9,5,5,6,2,8,7,2,8,5,4,3,5,12,6,1,5,5,5,6,6,3,3,4,7,6,13,4,13,5,11,8,14,11,10,6,7,11,9,4,7,6,9,17,7,17,8,16,11,12,4,9,6,6,6,8,0,6,3,2,1,2,3,1,5,1,3,1,1,0,1,0,1,4
S01010814,,627,,2,2,7,4,6,4,3,9,3,9,7,11,11,4,4,10,7,9,3,2,10,3,2,2,5,5,4,2,2,4,3,1,8,5,2,3,6,3,3,9,2,10,7,12,14,18,10,12,11,16,19,14,7,10,12,4,14,6,15,9,16,16,7,17,15,10,3,9,15,9,7,6,9,6,7,5,5,4,5,4,4,4,3,4,4,6,2,0,1,2,1
S01010815,,452,,3,3,3,5,1,0,6,5,5,0,5,3,11,11,3,8,10,1,6,2,5,1,4,5,1,4,1,2,3,1,1,11,5,3,2,2,3,5,3,2,6,6,4,5,9,6,8,6,5,11,8,14,11,11,13,6,7,5,9,10,5,9,11,14,9,4,8,7,4,4,9,4,4,2,5,4,2,7,1,4,5,2,2,1,2,0,1,1,2,1,3
S01010816,,639,,7,3,6,5,7,8,7,8,4,7,8,6,12,10,11,10,14,4,7,8,2,3,3,4,7,8,2,3,3,2,5,5,5,4,6,2,2,7,3,6,9,9,9,5,10,9,14,8,9,11,8,9,4,11,7,11,9,11,7,4,6,7,11,7,8,14,16,9,5,5,10,4,11,6,6,7,4,10,4,8,4,7,12,3,5,7,8,5,4,3,15
S01010817,,911,,9,5,7,19,11,10,12,10,11,13,11,12,21,19,12,13,8,15,11,6,5,8,5,0,7,4,9,6,5,4,2,6,9,6,10,5,8,8,9,14,14,18,13,13,15,16,15,16,16,20,14,17,15,20,15,16,12,15,14,14,20,18,17,13,17,13,13,9,7,13,6,7,10,9,9,7,9,6,8,4,2,4,2,2,2,2,1,1,1,1,5
S01010818,,"1,014",,3,10,9,9,11,10,11,26,13,15,15,7,11,17,7,10,13,9,10,5,2,3,6,8,4,6,5,7,7,2,9,7,7,7,4,16,9,15,18,21,17,18,19,13,18,18,13,25,19,24,16,13,10,10,18,20,15,17,11,14,13,17,12,20,12,9,12,12,5,10,9,6,14,19,4,10,9,5,8,12,7,10,12,5,10,9,7,4,7,7,6
S01010819,,794,,6,9,11,7,10,7,7,7,9,6,8,7,10,4,11,4,13,1,6,6,6,7,3,7,5,2,5,5,3,7,5,7,7,7,3,7,8,9,14,13,15,8,18,15,11,11,8,7,2,9,16,17,13,12,16,9,15,16,8,12,15,6,13,17,14,11,14,21,8,10,11,5,10,12,13,10,5,9,9,13,7,10,7,4,3,4,5,1,3,2,5
S01010820,,517,,3,8,9,9,3,8,5,6,6,6,7,3,8,5,8,5,8,9,5,1,2,0,2,4,4,5,1,4,1,4,3,2,8,5,6,4,6,7,8,5,10,11,13,8,10,7,5,3,9,11,12,13,11,8,11,3,6,7,8,7,7,7,10,7,8,12,7,6,9,9,3,2,4,3,12,3,1,6,3,1,0,3,4,4,4,2,1,0,2,0,1
S01010821,,587,,2,7,3,6,11,4,5,8,4,5,3,5,6,6,6,13,6,6,4,4,5,5,2,8,5,4,1,1,0,3,2,3,0,3,6,2,6,3,6,10,4,10,6,7,10,7,9,7,10,10,6,10,5,7,11,8,6,10,14,8,11,13,12,12,16,12,12,11,10,9,14,10,6,14,6,10,7,5,3,5,5,4,4,0,6,0,1,1,4,5,5
S01010822,,784,,4,3,6,8,13,6,11,6,21,10,4,5,6,3,9,11,5,11,8,7,5,2,9,6,4,7,5,9,3,2,6,5,4,3,12,5,10,18,15,10,16,14,12,10,19,17,22,14,16,14,17,22,15,14,10,16,10,20,11,17,11,6,9,16,10,7,12,5,4,4,8,3,3,8,2,1,1,6,1,7,4,4,2,1,4,4,3,6,6,2,21
S01010823,,505,,11,8,8,9,13,5,6,8,10,7,9,9,4,8,11,5,3,7,5,7,7,7,1,7,5,9,9,1,2,14,8,10,12,10,12,4,11,8,9,8,3,10,6,11,10,7,14,11,6,3,8,7,6,5,2,8,5,3,4,2,1,4,2,7,4,3,2,2,2,1,2,4,3,1,5,2,1,2,3,2,1,1,5,1,1,0,0,2,1,0,2
S01010824,,755,,8,9,6,14,7,19,20,17,13,15,18,16,12,20,15,13,11,8,10,10,6,7,10,5,3,1,1,5,3,6,8,9,6,8,10,9,14,17,19,23,18,25,16,18,16,21,19,25,14,14,15,6,9,7,6,8,9,3,7,1,4,6,5,1,6,6,9,5,3,3,0,4,0,1,3,1,2,3,0,0,1,1,1,1,0,0,0,0,1,0,0
S01010825,,378,,9,8,9,7,12,7,5,6,7,8,8,4,6,8,1,3,4,4,2,0,1,2,3,0,3,1,2,4,6,5,7,8,10,10,8,6,7,11,10,10,5,9,10,11,8,4,9,6,9,6,1,3,1,4,3,1,4,4,0,1,4,3,3,2,3,3,1,3,4,0,1,1,1,2,2,0,3,1,1,2,0,1,3,0,0,0,0,0,1,1,1
