"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Name,Council Area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+,,
S01010581,Inverness Smithton - 05,Highland,535,,9,6,4,7,6,8,8,5,10,6,2,9,3,2,3,9,7,3,8,2,5,5,3,9,6,9,16,15,9,16,11,9,4,17,5,4,5,16,4,14,10,9,7,10,7,12,7,7,4,7,4,6,6,12,5,1,7,12,5,3,11,6,6,7,5,9,2,2,5,1,7,0,2,1,3,1,0,1,2,3,1,1,1,3,2,1,2,2,2,2,4,,
S01010582,Inverness Westhill - 01,Highland,723,,8,11,11,10,9,13,1,8,4,6,9,11,7,13,9,8,13,7,17,11,7,5,22,9,8,7,10,14,5,16,6,6,12,11,4,11,12,9,12,9,10,8,14,9,10,8,2,8,9,7,5,13,8,17,12,6,10,10,9,5,1,8,3,11,6,4,7,7,8,7,4,5,4,5,8,6,2,3,4,1,4,6,5,3,1,7,6,4,2,2,18,,
S01010583,Inverness Westhill - 02,Highland,915,,3,7,8,8,6,8,7,11,11,10,12,8,9,7,6,10,10,8,14,6,8,8,22,13,4,6,9,9,9,5,3,5,13,10,4,9,7,4,5,14,14,6,14,9,12,14,19,20,19,16,19,22,22,23,24,9,10,13,13,16,10,14,9,13,7,11,12,12,10,21,15,9,13,2,8,8,17,10,11,8,5,7,4,10,2,2,5,3,2,0,5,,
S01010584,Inverness Westhill - 03,Highland,989,,7,16,18,21,16,14,28,10,23,16,18,23,9,7,11,14,15,17,10,9,5,5,9,10,10,8,8,13,14,14,8,11,28,11,16,23,20,19,16,21,21,8,20,15,27,24,8,20,18,13,15,19,20,24,7,13,12,8,8,2,11,8,5,3,7,10,3,3,7,13,5,7,3,2,3,0,7,4,3,1,0,2,1,1,4,1,1,1,0,0,0,,
S01010585,Inverness Westhill - 04,Highland,850,,17,16,18,16,22,20,16,15,8,17,14,10,19,8,15,4,12,11,11,7,10,15,5,6,7,6,7,14,13,15,10,22,22,11,14,14,30,18,19,11,17,14,27,22,17,8,19,15,7,21,14,13,13,7,10,13,9,5,4,1,6,1,4,3,1,6,2,1,1,0,4,3,1,1,2,4,2,2,0,2,0,0,2,1,0,0,0,0,0,0,0,,
S01010586,Inverness Westhill - 05,Highland,813,,6,7,15,11,12,9,11,7,7,3,7,10,4,10,9,6,6,8,15,15,7,17,2,7,4,1,3,9,7,9,9,7,9,10,11,7,16,17,7,13,12,11,6,10,7,17,12,9,11,20,11,18,21,10,11,13,19,9,14,9,21,13,14,10,5,10,8,5,11,11,13,11,7,10,10,5,5,1,10,7,5,6,4,1,3,5,0,1,0,1,0,,
S01010587,Inverness Westhill - 06,Highland,657,,2,4,10,6,8,8,7,8,9,7,9,3,5,4,2,3,6,11,3,6,6,5,8,8,9,7,6,3,3,1,8,4,4,1,6,1,9,12,8,8,6,7,10,8,10,12,9,15,11,13,9,16,10,6,12,4,9,10,9,11,10,11,11,8,10,11,10,4,14,16,13,12,7,8,9,5,4,3,9,4,7,2,2,11,3,5,1,2,1,1,8,,
S01010588,Inverness Westhill - 07,Highland,667,,12,7,7,6,5,6,6,4,9,7,10,6,9,7,18,8,6,8,14,6,11,9,5,6,7,3,0,3,6,7,7,2,7,8,2,10,2,10,12,7,11,9,14,6,13,14,12,10,10,16,17,9,13,18,6,7,12,7,9,8,5,5,5,12,7,4,8,9,6,6,17,8,4,3,5,3,5,6,6,2,4,5,9,2,0,3,2,3,3,0,4,,
S01010589,Inverness Westhill - 08,Highland,565,,3,3,1,0,3,2,5,9,3,8,4,5,3,10,2,7,8,5,5,12,10,9,8,14,10,11,2,12,3,11,7,9,7,8,9,10,4,7,5,3,7,11,7,8,5,4,10,12,7,11,23,3,10,8,13,11,10,14,11,5,12,8,8,4,6,3,14,12,3,4,1,2,0,3,5,6,2,4,2,5,5,1,3,2,1,0,0,0,1,0,1,,
S01010590,Inverness Inshes - 01,Highland,944,,10,5,3,14,6,19,14,23,14,23,30,23,16,21,18,16,15,14,14,7,7,6,5,14,3,3,6,5,7,2,11,4,10,7,11,9,12,14,17,6,18,14,18,15,26,13,19,20,21,17,20,21,18,11,12,17,12,15,18,5,7,12,10,8,13,6,11,6,7,11,8,3,8,4,6,6,0,2,3,1,1,4,1,0,4,1,1,1,1,1,3,,
S01010591,Inverness Inshes - 02,Highland,"1,386",,27,22,35,23,33,24,24,30,29,34,29,21,22,18,13,15,10,9,12,15,5,9,12,9,19,19,23,23,23,22,36,30,32,38,54,42,31,28,35,37,31,27,37,21,22,23,17,15,13,14,17,9,20,6,10,12,8,7,10,6,6,6,4,4,5,9,5,3,4,2,4,6,0,2,3,2,1,4,1,2,2,2,1,0,3,2,1,2,0,1,2,,
S01010592,Inverness Inshes - 03,Highland,487,,6,3,7,2,7,2,1,4,3,9,5,3,3,1,3,3,4,2,5,4,1,6,5,6,9,6,6,7,12,9,8,9,0,11,9,6,15,11,7,9,7,8,5,12,14,6,7,8,7,4,5,6,6,4,3,9,5,8,6,4,7,5,6,7,1,11,4,8,7,4,7,11,3,6,1,4,1,3,4,2,2,4,2,2,0,5,2,2,1,0,2,,
S01010593,Inverness Inshes - 04,Highland,"1,153",,15,21,20,15,12,14,13,19,21,11,8,20,14,12,17,10,12,7,11,11,8,9,20,19,19,19,21,22,24,12,21,19,16,20,12,23,23,18,12,17,13,19,21,20,24,19,19,19,25,18,11,18,7,17,25,11,17,10,10,8,4,8,11,12,6,7,14,6,8,10,9,8,7,7,5,8,2,2,7,6,4,7,7,4,1,4,1,0,3,0,7,,
S01010594,Inverness Inshes - 05,Highland,740,,8,12,9,4,11,11,8,11,9,13,8,6,15,12,11,6,10,14,5,6,2,10,11,9,9,13,14,16,24,17,13,10,21,12,6,19,20,18,13,2,8,18,9,8,13,19,11,17,14,8,8,11,13,12,3,8,4,9,3,1,5,4,1,8,5,5,4,3,3,6,4,6,1,4,7,2,3,1,0,0,2,5,7,0,5,1,0,1,0,0,2,,
S01010595,Inverness Inshes - 06,Highland,893,,8,11,14,16,14,13,22,13,24,15,13,24,14,17,10,14,19,18,15,10,8,5,9,15,11,4,11,3,9,18,19,18,18,13,10,20,20,22,31,34,22,13,13,16,21,14,18,16,17,5,21,10,6,12,12,10,7,6,4,1,5,4,2,2,4,1,2,0,5,4,3,2,2,1,0,0,2,0,0,3,1,2,1,0,0,0,0,0,0,0,1,,
S01010596,Inverness Slackbuie - 01,Highland,"1,313",,19,20,18,25,18,20,32,25,18,14,23,18,13,12,21,18,12,18,11,8,6,9,5,14,7,14,15,15,14,33,28,22,20,23,11,28,22,20,28,23,20,24,15,28,8,22,16,18,22,30,14,14,22,21,14,14,21,11,10,18,20,17,17,13,12,15,15,17,12,9,11,7,7,6,9,8,9,4,4,4,0,1,4,3,2,2,2,1,0,0,0,,
S01010597,Inverness Slackbuie - 02,Highland,968,,10,22,16,18,18,15,12,18,20,16,19,13,14,14,8,9,5,8,10,10,8,5,5,12,8,19,20,17,15,26,30,42,16,23,27,24,29,18,16,18,25,8,16,18,18,17,16,16,20,17,10,20,9,9,2,8,10,6,4,9,3,6,1,4,1,4,2,4,6,3,1,3,5,1,3,3,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1,,
S01010598,Inverness Slackbuie - 03,Highland,"1,090",,11,13,20,23,13,24,29,30,25,29,22,26,18,8,13,10,10,8,3,12,8,9,15,12,10,15,12,26,10,28,16,19,6,19,20,31,22,22,26,27,32,23,18,18,20,30,20,13,17,12,12,23,9,9,7,6,10,15,10,4,4,4,5,5,5,5,2,5,3,7,4,6,3,2,3,4,3,1,1,0,1,1,1,1,1,1,1,1,2,0,0,,
S01010599,Inverness Lochardil and Holm Mains - 01,Highland,828,,18,15,10,13,11,9,9,9,12,15,11,20,13,21,8,8,6,7,5,5,8,5,10,13,8,15,11,9,9,20,21,13,9,10,14,10,5,11,17,7,10,16,11,12,15,21,15,16,6,21,18,6,7,11,8,4,9,5,6,5,14,10,9,10,6,5,9,4,17,7,5,5,7,6,6,7,3,7,2,1,1,1,1,1,1,2,1,2,1,1,4,,
S01010600,Inverness Lochardil and Holm Mains - 02,Highland,906,,6,11,6,3,5,8,4,4,4,6,1,6,12,6,7,3,12,5,9,9,13,3,8,12,10,4,10,4,12,16,11,5,11,5,3,7,5,2,9,7,5,7,10,2,13,13,7,7,7,9,11,13,19,17,20,19,18,15,10,12,13,17,22,10,17,24,21,9,24,10,16,15,12,13,6,13,4,11,8,25,10,6,9,14,6,12,4,5,7,2,23,,
S01010601,Inverness Lochardil and Holm Mains - 03,Highland,663,,1,9,4,4,9,3,11,4,7,10,8,5,6,3,8,4,5,12,10,6,6,2,4,7,5,7,6,4,2,4,3,2,5,3,6,9,9,17,7,9,1,11,5,5,3,11,5,8,7,17,9,14,8,7,2,5,13,5,10,5,12,8,4,14,5,3,5,5,9,7,10,11,11,9,10,9,2,10,8,14,6,6,12,6,8,8,9,9,5,10,21,,
S01010602,Inverness Lochardil and Holm Mains - 04,Highland,515,,10,10,7,7,3,6,4,3,2,3,3,4,1,2,8,2,6,6,5,2,4,2,7,5,3,7,6,12,8,10,8,4,13,14,4,10,17,17,4,4,4,10,9,3,7,4,12,10,3,5,7,6,6,7,11,8,9,7,9,6,6,8,9,7,6,3,4,7,6,5,6,8,3,2,8,5,3,2,2,4,1,1,3,1,2,1,3,1,0,0,2,,
S01010603,Inverness Lochardil and Holm Mains - 05,Highland,766,,8,3,6,3,7,3,2,4,4,4,5,9,5,11,8,12,7,8,9,9,1,8,0,9,1,5,7,8,4,7,8,7,12,5,9,11,9,4,12,5,2,5,10,14,13,7,6,16,10,7,13,11,17,17,13,15,16,16,11,22,10,13,11,10,11,15,7,18,12,19,8,9,11,7,11,13,10,7,10,4,5,12,6,6,3,4,6,3,1,0,4,,
S01010604,Inverness Lochardil and Holm Mains - 06,Highland,480,,1,4,3,5,4,1,7,3,8,4,6,8,5,6,5,8,8,5,1,4,5,2,4,1,5,4,8,6,4,0,7,2,5,11,3,11,6,2,8,1,8,5,7,11,9,9,10,1,12,9,11,9,13,4,8,9,11,3,4,6,10,6,3,7,6,4,5,5,7,7,8,5,1,2,6,4,3,0,1,5,5,2,0,2,4,2,3,6,2,1,8,,
S01010605,Inverness Lochardil and Holm Mains - 07,Highland,854,,8,2,8,7,4,5,9,6,13,11,3,6,11,10,10,9,7,11,8,5,5,4,16,11,7,9,8,0,9,7,9,5,6,14,3,9,15,4,8,11,8,10,10,9,5,16,10,12,11,8,13,14,13,13,12,7,9,18,16,11,11,14,15,8,14,15,14,13,8,20,14,15,6,17,7,16,20,13,5,10,8,4,5,6,6,7,6,4,5,6,4,,
S01010606,Inverness Drummond - 01,Highland,810,,8,8,7,10,9,5,9,8,14,10,7,8,3,12,13,6,16,8,9,10,6,14,14,8,12,9,2,9,10,21,8,24,15,23,9,16,14,13,21,8,3,5,4,6,8,12,5,10,5,11,12,15,13,10,10,8,13,13,9,8,9,15,3,6,3,5,6,3,9,9,9,13,7,7,11,11,5,6,7,10,4,2,4,6,2,6,4,3,2,0,7,,
S01010607,Inverness Drummond - 02,Highland,875,,9,8,12,3,11,7,4,11,4,7,16,6,6,8,9,12,15,11,8,8,11,10,7,11,17,12,12,2,4,5,12,10,12,9,6,11,12,7,12,8,8,12,8,17,9,11,10,19,19,11,22,21,9,27,12,13,6,17,15,12,8,19,11,13,10,17,10,15,12,12,6,9,2,3,3,4,7,6,7,6,5,3,6,7,7,6,4,0,4,0,10,,
S01010608,Inverness Drummond - 03,Highland,699,,9,15,10,10,20,13,12,4,8,12,19,8,14,13,10,12,2,16,12,10,12,10,12,11,12,3,10,12,10,11,11,13,7,21,12,19,1,7,7,12,6,10,6,10,7,2,2,5,4,7,15,12,4,13,7,7,11,10,5,4,6,6,6,10,8,5,2,3,6,6,2,5,4,4,1,1,2,6,4,5,1,3,1,4,2,1,1,1,0,0,4,,
S01010609,Inverness Drummond - 04,Highland,559,,7,4,11,6,13,9,9,8,11,5,7,8,12,8,5,6,2,5,4,3,6,2,4,16,7,14,9,9,10,2,9,3,7,9,10,9,10,12,10,5,3,8,6,5,12,4,6,9,10,4,8,9,9,13,14,4,7,2,5,2,6,7,4,7,3,5,5,8,3,4,7,2,5,4,6,4,4,4,5,3,1,1,3,3,0,1,1,1,0,2,4,,
S01010610,Inverness Drummond - 05,Highland,632,,2,2,2,3,1,4,4,2,4,3,4,6,6,10,9,2,3,5,2,2,5,8,6,3,1,10,5,10,6,12,9,7,9,9,2,0,6,1,6,6,4,5,0,6,3,10,11,19,14,9,3,6,5,20,16,9,9,11,11,14,8,7,4,10,18,10,8,15,15,19,9,1,11,10,12,13,6,8,4,15,5,6,4,3,5,3,6,4,2,4,5,,
S01010611,Inverness Hilton - 01,Highland,948,,13,10,15,10,15,15,7,12,13,9,12,7,9,10,5,6,9,12,4,11,15,14,9,8,12,6,7,18,11,14,9,16,15,23,15,15,7,17,14,15,18,15,17,12,7,17,14,14,7,20,12,12,16,16,9,11,13,17,9,9,12,12,12,8,10,5,13,15,11,12,11,5,11,8,7,6,7,7,6,8,2,4,1,7,1,4,1,2,4,0,7,,
S01010612,Inverness Hilton - 02,Highland,769,,9,5,10,11,7,10,11,5,6,10,17,8,12,8,10,11,9,12,7,7,5,7,9,12,7,11,7,8,7,10,4,14,6,18,11,9,16,11,11,8,5,6,11,10,16,16,8,7,11,13,5,12,12,9,9,7,11,7,6,5,8,10,13,10,6,6,13,8,7,7,15,15,7,8,8,7,5,10,6,3,4,4,5,3,2,4,3,3,0,0,7,,
S01010613,Inverness Hilton - 03,Highland,735,,6,8,7,12,3,8,7,8,6,9,12,13,5,5,1,10,14,1,9,5,4,7,7,8,6,6,9,9,14,9,3,8,4,7,5,9,11,17,9,15,7,11,7,8,10,6,6,12,5,4,13,7,6,15,10,9,12,6,14,7,7,6,16,7,12,16,10,12,10,14,11,9,7,13,4,3,8,10,11,9,2,8,6,5,4,5,2,1,3,3,10,,
S01010614,Inverness Hilton - 04,Highland,603,,7,4,6,5,8,10,5,5,7,10,6,8,13,6,9,10,4,5,7,8,9,7,10,6,5,9,8,4,6,5,8,11,12,15,9,5,8,13,8,9,5,4,7,2,11,8,9,11,21,9,8,14,5,10,4,7,10,7,7,7,5,6,6,8,3,3,5,5,4,4,11,5,1,8,5,5,11,5,3,3,4,2,3,0,2,1,3,2,4,0,0,,
S01010615,Inverness Hilton - 05,Highland,806,,14,10,13,8,10,8,19,6,16,8,13,16,9,11,3,4,2,12,5,4,3,13,8,7,11,11,7,12,17,16,19,23,14,10,18,16,18,17,12,15,14,23,6,9,9,9,8,9,15,14,13,13,6,5,9,13,10,18,7,4,12,14,5,9,10,4,6,7,4,10,3,4,4,4,3,1,4,6,7,2,4,3,0,2,1,1,0,0,3,0,1,,
S01010616,Inverness Drakies - 01,Highland,778,,9,9,2,12,2,10,6,5,6,4,2,5,6,5,10,4,10,6,7,8,6,7,13,9,6,9,5,3,10,12,0,17,7,12,12,11,10,7,6,2,8,9,15,13,9,14,9,12,12,14,13,23,12,18,7,20,14,11,5,10,9,7,14,6,8,9,8,10,13,11,12,9,5,11,9,8,10,5,10,5,8,12,9,4,3,2,3,4,2,3,9,,
S01010617,Inverness Drakies - 02,Highland,877,,10,9,5,5,10,11,9,6,8,11,6,15,10,6,18,9,9,7,8,8,5,6,11,6,6,4,9,10,6,16,7,9,13,2,9,10,15,11,12,9,9,10,12,9,16,14,10,18,13,12,13,10,20,26,16,15,16,10,14,11,13,11,11,14,7,14,14,14,5,13,15,7,14,4,17,6,11,8,7,7,4,5,6,3,4,0,3,1,1,3,5,,
S01010618,Inverness Drakies - 03,Highland,671,,4,5,12,6,10,3,9,3,10,3,7,6,12,6,3,7,7,7,6,3,5,5,8,5,4,7,7,10,6,6,5,7,6,5,7,7,18,6,13,7,7,6,4,9,9,9,13,8,8,4,13,15,11,9,14,11,11,12,16,18,13,11,14,12,17,4,8,7,12,12,5,10,6,3,8,8,4,5,3,2,2,4,5,2,4,2,3,1,0,1,3,,
S01010619,"Inverness Central, Raigmore and Longman - 01",Highland,619,,7,10,13,11,10,10,6,0,0,8,2,6,6,5,5,7,5,4,8,6,5,17,5,14,18,18,21,19,14,11,11,18,4,16,27,15,14,7,5,7,9,12,7,6,12,4,12,9,11,10,9,13,0,9,2,2,4,4,3,4,5,10,7,8,1,6,6,6,2,4,3,2,3,0,1,2,3,0,1,0,1,2,3,1,2,0,0,0,0,0,3,,
S01010620,"Inverness Central, Raigmore and Longman - 02",Highland,674,,8,6,4,1,6,5,3,2,9,4,2,2,6,2,3,3,7,4,12,7,22,5,20,14,23,20,29,20,28,13,17,35,20,18,12,23,9,13,13,12,11,5,7,11,12,4,7,4,12,13,4,8,10,5,7,9,8,6,3,7,6,5,2,4,3,2,3,3,1,0,1,3,0,6,3,1,1,2,3,1,0,1,0,1,1,2,0,0,1,1,2,,
S01010621,"Inverness Central, Raigmore and Longman - 03",Highland,901,,6,3,7,11,16,4,4,7,7,4,4,10,7,10,16,8,10,8,7,2,11,5,11,11,12,22,24,11,19,10,12,11,14,4,10,20,1,16,16,8,12,16,13,11,15,12,8,19,14,14,15,10,12,17,12,22,19,13,10,15,12,9,11,10,18,12,6,9,13,6,14,8,7,5,8,7,3,5,8,8,9,1,4,5,7,3,2,0,3,3,7,,
S01010622,"Inverness Central, Raigmore and Longman - 04",Highland,653,,8,12,12,7,9,6,15,11,12,14,6,2,7,9,6,11,7,1,5,9,9,6,8,12,11,9,10,6,10,5,7,16,11,5,20,5,17,10,8,11,12,6,9,10,3,5,10,5,9,6,6,4,8,7,11,7,11,16,6,5,8,11,5,9,4,4,8,5,2,5,10,1,7,1,1,6,1,2,7,3,5,3,3,3,3,1,7,1,1,1,4,,
S01010623,"Inverness Central, Raigmore and Longman - 05",Highland,721,,23,25,20,21,29,5,25,9,13,27,15,21,3,16,6,16,12,8,6,3,9,5,8,9,15,16,14,6,23,3,17,9,14,22,10,22,3,12,9,5,14,6,4,0,14,11,6,1,8,1,5,8,6,7,13,4,7,1,4,7,3,1,3,7,6,3,8,8,0,1,5,1,0,1,0,0,1,2,1,2,1,0,0,0,2,0,0,0,1,0,3,,
S01010624,"Inverness Central, Raigmore and Longman - 06",Highland,630,,17,15,19,6,14,5,7,9,3,3,7,12,2,6,8,6,4,9,6,14,8,25,19,9,11,8,22,12,8,9,20,12,14,10,3,11,5,15,5,4,9,12,18,14,9,8,7,7,5,4,6,15,7,2,6,0,5,7,7,8,8,7,4,6,1,3,8,4,4,0,0,5,3,0,3,1,1,2,5,1,0,1,0,3,0,0,0,0,1,1,0,,
S01010625,Inverness Crown and Haugh - 01,Highland,771,,1,3,4,10,5,6,5,6,11,9,6,8,10,9,4,13,7,4,8,8,6,8,4,4,3,8,2,4,9,0,4,1,5,2,9,10,9,5,10,7,11,5,6,4,12,6,10,5,13,8,18,17,11,10,20,11,4,15,16,13,5,11,8,15,14,20,14,4,17,7,7,6,10,10,14,14,9,9,13,15,9,12,9,4,6,8,6,8,2,7,16,,
S01010626,Inverness Crown and Haugh - 02,Highland,957,,3,6,5,10,8,4,9,9,3,8,10,5,11,6,11,5,5,10,13,5,8,8,8,9,3,4,6,5,2,11,2,11,6,2,11,4,3,7,14,15,6,14,4,5,11,11,28,13,10,20,9,20,16,20,9,11,21,13,19,10,10,13,10,20,10,6,14,15,10,14,21,15,8,18,11,9,7,12,11,17,15,16,11,11,11,7,9,10,6,8,47,,
S01010627,Inverness Crown and Haugh - 03,Highland,726,,1,5,4,7,3,3,9,4,7,4,5,5,3,5,9,11,4,3,10,6,7,10,7,4,11,8,18,15,28,19,14,11,17,13,7,12,14,12,7,8,11,2,12,10,13,6,8,0,6,11,10,9,4,6,11,10,6,10,9,1,8,11,11,17,14,10,2,5,14,5,9,11,6,7,6,6,3,6,9,8,5,5,1,7,2,4,8,5,1,3,12,,
S01010628,Inverness Crown and Haugh - 04,Highland,946,,12,2,6,2,13,10,2,7,5,12,8,7,8,11,1,7,8,7,1,10,5,3,12,16,13,16,12,12,18,23,17,31,11,20,24,22,26,12,17,4,7,12,20,10,14,15,14,21,7,12,12,22,17,18,18,11,14,12,17,14,17,12,9,8,3,4,2,8,6,9,4,5,6,6,11,7,4,3,7,11,8,5,2,5,5,4,0,9,4,4,18,,
S01010629,Inverness Crown and Haugh - 05,Highland,972,,10,4,9,3,8,3,10,7,9,4,7,8,12,15,6,14,20,14,12,7,12,11,10,6,15,13,7,9,4,9,17,14,5,14,7,1,13,7,17,11,5,16,11,15,3,6,14,11,11,18,20,16,8,10,15,11,18,16,14,10,10,10,7,8,18,18,11,17,10,8,11,6,13,13,16,7,12,12,9,13,9,11,4,7,2,13,10,7,11,7,30,,
S01010630,Inverness Ballifeary and Dalneigh - 01,Highland,616,,4,8,13,8,11,9,8,7,6,9,13,12,8,1,9,7,2,6,7,5,9,11,5,7,6,0,8,10,9,11,5,13,7,11,10,17,1,7,13,9,8,6,8,5,10,14,6,9,4,11,7,9,8,9,7,3,5,4,13,5,11,4,6,5,6,4,3,10,5,5,6,0,8,5,0,4,2,3,4,7,2,8,2,3,6,3,3,2,2,4,10,,
S01010631,Inverness Ballifeary and Dalneigh - 02,Highland,552,,10,7,8,5,6,3,3,3,12,4,5,4,5,3,0,5,1,2,6,2,3,0,8,10,9,11,18,15,4,8,28,10,17,14,11,7,4,14,15,4,5,6,6,1,1,5,5,3,5,6,4,5,6,2,6,8,3,10,3,5,4,6,7,1,6,6,7,3,5,6,1,5,3,3,1,3,2,4,0,2,7,9,5,4,10,4,6,9,5,2,17,,
S01010632,Inverness Ballifeary and Dalneigh - 03,Highland,921,,13,12,6,11,7,6,12,9,7,8,6,2,8,8,11,10,15,6,3,9,4,8,10,16,8,20,19,12,11,12,18,1,10,5,2,15,12,9,13,10,6,16,10,17,12,14,9,14,10,10,17,10,16,23,10,13,18,15,18,17,22,6,13,10,8,6,5,7,13,13,9,10,6,10,11,13,14,6,10,10,7,9,7,3,7,3,6,3,5,2,8,,
S01010633,Inverness Ballifeary and Dalneigh - 04,Highland,"1,025",,9,16,14,16,9,18,17,16,19,14,15,19,19,11,17,9,15,18,12,12,15,7,10,8,9,8,7,17,8,13,8,16,12,18,18,16,14,19,14,7,7,8,8,9,13,9,12,11,7,18,15,17,18,22,16,15,12,18,20,19,10,9,8,11,11,8,6,6,7,12,8,5,8,7,7,10,6,2,9,6,9,8,2,5,2,2,6,2,2,5,13,,
S01010634,Inverness Ballifeary and Dalneigh - 05,Highland,633,,2,8,9,8,9,5,11,8,8,8,16,4,3,5,8,5,14,5,10,7,8,10,15,3,13,2,10,10,7,13,8,11,16,8,11,10,8,18,9,10,6,9,6,6,9,2,3,6,11,6,12,5,4,7,6,7,10,8,4,9,6,10,5,6,4,12,5,9,4,7,8,7,4,6,3,2,3,5,5,2,6,3,1,1,7,2,4,1,2,1,3,,
S01010635,Inverness Ballifeary and Dalneigh - 06,Highland,769,,3,13,8,11,11,10,7,4,14,7,15,13,7,13,10,8,9,9,6,8,18,9,7,6,4,11,8,11,4,4,7,0,8,7,15,12,11,12,10,8,13,17,10,8,12,11,7,6,13,9,9,13,16,16,16,14,6,10,13,4,5,6,5,7,6,8,7,12,7,11,9,4,7,8,14,4,8,8,7,6,8,4,4,3,3,1,4,3,0,1,8,,
S01010636,Inverness Muirtown - 01,Highland,750,,3,5,12,13,9,5,7,8,2,5,3,6,7,7,9,5,3,4,12,2,15,6,1,7,5,15,9,4,9,9,8,14,14,10,8,10,21,8,18,12,7,7,7,10,9,11,11,18,4,15,7,7,17,9,8,20,13,15,15,14,5,7,9,14,8,14,9,3,6,6,11,6,11,7,10,7,8,2,7,8,9,7,3,6,1,5,2,1,1,2,1,,
S01010637,Inverness Muirtown - 02,Highland,510,,2,4,2,4,3,3,5,0,7,3,2,1,1,2,1,0,1,2,1,2,6,5,8,6,7,7,10,15,12,8,15,18,15,3,8,5,9,3,2,2,7,8,11,2,7,9,4,4,11,7,13,9,8,9,6,11,12,2,7,2,11,7,16,10,6,2,7,1,7,5,5,7,4,5,6,7,3,5,4,8,1,6,3,5,3,1,2,0,1,1,2,,
S01010638,Inverness Muirtown - 03,Highland,830,,8,7,3,2,8,7,3,3,8,9,3,7,8,9,6,4,4,10,4,2,6,6,21,10,7,11,7,19,6,8,13,3,4,14,16,18,10,10,8,11,15,6,9,15,8,6,10,12,11,5,12,13,16,15,5,11,10,9,14,10,5,18,8,7,14,1,18,8,8,10,16,8,6,13,15,10,9,14,10,4,7,9,8,8,11,5,10,8,6,3,18,,
S01010639,Inverness Muirtown - 04,Highland,"1,130",,14,22,13,13,13,18,7,13,11,9,7,7,9,13,9,10,13,8,11,13,11,14,22,25,18,16,24,17,20,18,18,26,23,23,10,8,9,17,13,18,10,23,15,17,17,25,27,17,13,23,15,16,15,16,15,11,11,15,6,12,9,7,17,10,14,17,14,8,11,15,15,5,6,5,13,5,4,2,3,7,5,6,8,3,3,2,3,0,1,2,8,,
S01010640,Inverness Muirtown - 05,Highland,714,,6,5,5,1,7,8,3,3,3,3,5,1,3,5,3,2,3,10,5,12,6,4,12,12,7,20,21,10,12,18,12,13,15,18,12,10,24,5,1,8,15,3,13,5,5,12,10,19,11,8,20,4,7,16,19,26,5,11,14,8,6,13,8,9,6,10,4,9,7,5,8,8,5,7,13,4,1,0,3,0,5,3,1,5,1,1,2,4,0,0,2,,
S01010641,Inverness Merkinch - 01,Highland,"1,015",,11,21,9,12,7,15,14,10,9,5,14,10,8,13,12,8,2,9,14,13,15,11,12,15,18,18,20,20,18,19,20,14,20,15,27,21,23,12,21,21,14,13,12,22,23,16,11,8,13,15,15,7,16,5,15,14,8,14,18,10,9,17,7,11,12,5,5,10,10,3,4,3,0,6,8,10,3,5,1,3,3,3,7,0,4,3,7,1,2,2,6,,
S01010642,Inverness Merkinch - 02,Highland,"1,023",,11,17,16,18,15,23,16,16,14,12,9,22,17,11,20,21,20,8,11,9,9,15,25,7,5,19,15,13,13,20,13,13,21,14,15,17,14,14,18,17,8,14,7,11,13,18,18,11,16,11,9,18,14,13,6,13,12,15,8,8,13,7,10,8,11,6,11,3,13,13,9,4,1,9,5,7,6,7,7,3,3,4,3,3,1,2,2,0,2,1,3,,
