"LAD11NM","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Brentwood",48420,50206,49076,46990,46878,45908,46350,47770,46763,46400,47377,48997,48714,51791,52553,52418,49999,50118
"Bridgend",54144,57240,59363,62614,64173,64616,65608,66104,66253,66695,66991,67552,68441,70407,71927,73001,73798,74296
"Brighton and Hove",84811,86507,87407,89225,90952,91163,90509,90264,90365,90191,89722,89222,89622,90875,92345,93361,93297,93127
"Bristol, City of",164721,167665,167879,183717,184616,183759,185924,190248,186454,194864,208454,220213,231671,244310,255582,265213,181255,182178
"Broadland",61947,63834,64939,66341,67720,67979,68975,68873,69359,69756,70266,71102,71681,72640,73330,74692,75442,76127
"Bromley",129501,131983,133119,135745,137559,138030,139499,140130,140715,141192,142158,142909,144530,146044,147701,149188,149058,148739
"Bromsgrove",45436,47182,47780,49167,51251,51519,52390,53055,53374,53616,54265,54806,55286,56229,56970,57689,58175,58653
"Broxbourne",41782,42303,42995,43525,44344,44941,45675,46246,46135,46587,47226,47870,48515,49332,49875,50597,50911,50990
"Broxtowe",47428,47869,49025,50239,51619,51388,52348,53115,50592,50504,50538,51201,51641,52200,52635,53087,53361,54151
"Burnley",30864,31550,32135,33171,33908,33816,34082,34289,34189,34097,33729,33547,33911,34551,35155,35784,36406,36737
"Bury",106939,94738,82185,86213,92000,90780,91934,91854,91158,91927,89473,90043,92252,96394,97729,100394,104526,108354
"Caerphilly",66578,69725,71431,74202,76124,76846,77861,78696,79038,79367,79416,79907,80726,82283,83955,85216,85928,86931
"Calderdale",72476,74579,76287,79019,80920,81556,82814,83997,84673,85304,85320,85551,86391,87803,88700,89589,90748,91557
"Cambridge",36012,36237,36292,37500,37873,37689,37696,37789,37725,37921,37959,37674,37866,38629,39472,40136,40573,40819
"Camden",52547,52953,51824,50604,50630,50418,49755,49693,49629,49253,49131,48679,48341,48592,48058,47801,46139,42616
"Cannock Chase",40564,42083,42838,43771,44797,44824,45588,46162,45740,46059,46370,47089,48046,49220,49926,50868,51734,52111
"Canterbury",56786,59136,60333,61891,63137,63041,63907,64199,64560,64866,65043,65596,66709,68108,69441,70323,71024,71514
"Cardiff",114313,117845,120259,125606,129654,130732,133293,134695,132889,132940,133075,133787,135415,137366,139091,140904,141388,142452
"Carlisle",54230,55083,55829,56163,59129,61678,48183,48930,49388,49558,49149,48782,49457,50384,50755,52118,52566,53107
"Carmarthenshire",76601,80022,82520,86313,88503,89091,90732,91593,91947,92347,92944,93512,94189,95863,97245,98547,99710,100779
"Castle Point",41316,42196,42838,43522,44377,44229,44799,45024,45179,45242,45564,45948,46488,47452,48064,48724,48850,48953
"Central Bedfordshire",115253,118653,121437,125796,128759,130094,132568,134516,136050,137579,139666,141989,144744,148292,151602,154656,156983,159038
"Ceredigion",30741,32086,33002,34215,34930,34990,35329,35348,35524,35504,35586,35772,35801,36334,36585,36938,36971,37163
"Charnwood",67028,68437,69607,71630,73322,73674,74502,75376,75920,76812,77479,78756,80517,82485,84078,85736,87274,88768
"Chelmsford",76607,77913,79636,82101,83615,84134,85199,86326,87360,87950,88599,89172,90232,91143,92699,93992,94875,95689
"Cheltenham",49706,47899,48679,49763,50823,50826,51195,51954,51824,52312,52470,53173,53672,54617,55464,56390,56915,57205
"Cherwell",69827,75022,76343,76561,79242,78965,80833,83002,79822,84969,85858,88746,90868,95483,98724,103654,103153,105057
"Cheshire East",175140,180619,184418,188825,192340,193215,195683,197171,197369,198410,199263,200160,202536,205856,208563,211114,213269,216089
"Cheshire West and Chester",153897,159579,193487,222927,229940,225938,301568,293482,266444,201176,170689,171968,174146,176933,179270,182027,184584,186907
"Chesterfield",47809,48340,49281,49948,51007,50548,51135,51359,50445,51291,51189,52128,53963,55722,57056,55779,56564,57470
"Chichester",57800,59292,60472,61875,62596,62513,63594,64251,64888,65463,65855,65813,65977,66928,67923,68846,69820,70250
"Chiltern",49685,51017,51850,52851,53163,53264,53953,54482,55002,55294,55714,56284,57021,57444,58186,58401,58466,58645
"Chorley",45541,47508,49019,50485,51915,52002,52479,52879,53095,53582,53838,54494,55363,56607,57441,58384,59470,60338
"Christchurch",23285,23711,24077,24584,24885,24891,25157,25304,25497,25664,26040,26214,26561,27043,27407,27788,27962,28143
"City of Edinburgh",175517,180049,173575,156453,157882,156287,158071,158966,159937,160863,161640,162606,164754,167556,170116,173565,175899,176225
"City of London",5883,4729,4545,4284,3434,3262,3196,3090,2940,2911,2935,2884,2625,2594,2574,2610,2471,2419
"Clackmannanshire",19274,19989,20625,21408,22144,22576,23249,23701,23713,23834,23889,24008,24223,24669,24917,25409,25742,25993
"Colchester",69476,71416,72204,74715,76136,76565,78011,78903,79851,80407,81300,82273,84006,86210,88123,89581,91078,92129
"Conwy",49528,51632,53154,54795,55893,55868,56598,56438,56853,56810,57023,57482,57816,59087,59665,60482,60863,61159
"Copeland",28548,29423,30093,31138,31786,31920,32306,32725,32794,32868,32666,32926,33382,33939,34298,34464,34536,34684
"Corby",20621,21186,21439,22493,25128,26253,26917,28182,28531,26009,26279,27029,28056,29111,30498,31878,32802,33854
"Cornwall",230793,241416,248791,256444,261202,261793,264666,266624,268127,269665,270698,272771,276393,282412,287431,292123,295943,297948
"Cotswold",43184,44073,45009,46402,47347,47716,48263,48424,48749,49072,49728,50197,50776,52028,53749,54215,55236,56405
"County Durham",185432,191787,197034,204052,210278,211450,215052,217703,218947,219582,220434,220738,222954,227053,230301,233944,236738,238988
"Coventry",122645,119377,113731,115443,118973,119342,120798,121657,119603,127824,120966,122007,130162,133639,136404,134261,135995,137471
"Craven",24737,25778,26210,27095,27573,27951,28126,28297,28344,28255,28348,28640,28904,29345,29513,30002,30301,30566
