"LAD11NM","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"North Warwickshire",29733,30592,31111,32506,34677,37052,37685,38574,36473,34377,34387,34864,35321,35994,36613,37131,37565,37892
"North West Leicestershire",41537,43309,44453,45731,46818,47168,47844,48062,48414,48834,48998,49458,50374,51562,52766,54236,55547,56881
"Northampton",102256,101173,101512,89903,92630,93491,95336,96520,96625,97555,98278,99739,101543,104299,106929,109852,110649,110981
"Northumberland",127656,132246,135991,140280,144275,145116,146777,148042,148047,148245,148523,149148,150137,152934,154614,157135,159142,160645
"Norwich",54998,45654,46372,47577,48460,48013,48568,48758,48908,49004,48900,49350,49523,50630,51416,52070,52257,52236
"Nottingham",78833,80406,80578,81220,82677,82340,83345,83969,83884,83715,83071,83318,85132,87581,89870,92320,93809,95347
"Nuneaton and Bedworth",49925,52979,53431,54301,55954,56077,57097,57721,58068,58513,58834,59793,60695,61648,63043,64440,65265,65875
"Oadby and Wigston",23640,25003,25488,26276,27379,27894,28226,28915,29682,30457,31655,31942,31753,27628,28867,29591,30086,30455
"Oldham",73957,75668,77593,79990,82264,81873,83289,84113,84560,84217,82507,82088,82913,84773,86399,88093,89237,90925
"Orkney Islands",8262,8599,8895,9261,9531,9680,9706,9863,9983,10062,10104,10210,10347,10506,10708,10894,11043,11125
"Oxford",42024,43275,44003,44081,44989,44946,45471,45709,46245,46293,46030,46367,46704,47415,48113,48374,48438,48665
"Pembrokeshire",52297,54392,56229,58603,60067,60425,61487,62220,62146,62289,62414,62513,63097,64208,64777,65415,66201,66891
"Pendle",32382,33291,34421,35505,36427,36309,36748,37091,36934,37042,36757,36537,36898,37422,38223,39126,39619,40387
"Perth and Kinross",59662,61795,63666,65916,67714,68336,69362,70441,70917,71033,71384,71659,72355,73343,74135,75192,76361,76986
"Peterborough",66046,68830,71058,73574,75349,75600,76962,77936,78308,78992,79725,80768,166740,175651,190386,203699,197039,181732
"Plymouth",90995,93842,95263,98281,100189,99972,101336,102065,102308,102627,102492,102717,104343,106259,108272,110513,111871,112808
"Poole",68810,70608,70921,72642,73436,73603,74554,74965,75780,76259,76270,76726,77275,78552,79819,81242,81854,82186
"Portsmouth",67184,81649,84621,84646,85546,86483,89376,90828,90172,88832,90519,94307,95535,98134,99903,101274,102130,103335
"Powys",59571,61999,63967,66472,68248,68644,69696,70393,70596,70630,70993,71535,71966,73106,73818,74577,75038,75506
"Preston",48397,50114,51192,52897,54371,54459,54534,55124,55111,55005,54156,53788,54050,54948,55708,56780,57719,58442
"Purbeck",23133,23568,23796,24351,24639,24543,24919,25137,25298,25382,25468,25440,25699,26049,26411,26885,26996,27068
"Reading",61374,54039,54454,56250,61762,62246,62459,59317,59226,59940,60352,61014,61929,63296,64886,65658,65857,65976
"Redbridge",88962,90336,91428,93713,95944,96039,97179,98784,99298,99895,99421,99410,100631,102514,104253,105612,105368,105097
"Redcar and Cleveland",52460,54347,55877,57618,58817,58826,59480,60041,59885,59831,59824,60182,60938,61883,62287,62893,63487,64294
"Redditch",37753,38844,39255,40786,42380,42303,43539,44016,40954,40908,40956,41105,41758,42700,43281,43857,44162,44471
"Reigate and Banstead",67252,79968,85982,89004,92606,94870,97133,97920,89158,88467,76640,77223,78356,79665,80479,82623,81849,82290
"Renfrewshire",61270,63134,64293,66454,68311,68653,69871,71309,71808,71771,72139,72766,73566,75052,76191,111999,113990,117650
"Rhondda Cynon Taf",85660,89445,91767,96410,99269,100147,101451,101986,101807,101665,101758,102514,104182,106244,107330,109402,110821,112411
"Ribble Valley",27151,28511,29593,30397,30884,30890,31152,31127,31157,31124,31206,31569,31666,32239,32591,33063,33517,34011
"Richmond upon Thames",70657,71422,72514,74007,75650,75404,75429,75808,75890,76464,76560,76531,76905,77073,77231,77496,77611,77180
"Richmondshire",20983,21869,22568,23327,24172,23969,24328,24459,24666,24763,24732,24852,25243,25388,26008,26304,26646,26856
"Rochdale",72450,74726,76290,78712,80298,81947,83382,83218,82780,82946,81476,81205,82036,83149,84777,86879,88387,89744
"Rochford",39191,39982,40841,41816,42240,42480,42963,43343,43535,43831,44084,44339,44957,45821,46548,47189,47536,47892
"Rossendale",27232,28033,28847,29870,30589,30903,31444,32022,32149,32197,32019,32150,32456,33085,33467,33986,34320,34736
"Rother",42275,43708,44721,45680,46548,46501,47312,47584,47842,48113,48493,48565,49338,50282,51078,52106,52760,52994
"Rotherham",95148,99047,100958,104518,107000,106982,108350,109493,110590,110774,111425,112512,114077,116523,118114,120295,121755,123008
"Rugby",41517,44590,46929,48547,49924,50589,51802,52585,49362,50034,50798,51659,52462,53777,55171,56467,57126,58136
"Runnymede",39834,40006,40010,40457,41071,41384,41732,42110,42191,42777,43429,43765,44373,44780,45180,45479,45705,46133
"Rushcliffe",48864,50565,51054,52311,53238,53492,53861,54392,55036,55494,55889,56467,57168,58140,58713,59663,60392,61398
"Rushmoor",39000,39432,39605,40552,41511,42150,43159,43823,82965,88038,83122,90049,97403,100607,103334,108732,109644,116562
"Rutland",16762,17340,17888,18393,19041,19255,19591,19794,19855,19910,19897,20144,20515,20930,21456,21777,21971,22323
"Ryedale",24361,25108,25661,26526,27108,27041,27472,27644,27825,27779,28080,28369,28774,29373,29843,30399,30675,30825
"Salford",74441,74614,75709,76163,78033,78231,79708,81182,81866,81408,80879,80913,82237,84361,86394,88790,90488,92151
"Sandwell",97826,99215,99920,103206,106279,106938,108132,109807,110787,111040,110963,112349,114456,117114,120249,123340,125713,128592
"Scarborough",41427,42919,43691,44997,45889,45752,46110,46336,46197,46048,45934,45973,46388,47211,47911,48742,49422,49665
"Scottish Borders",47509,49132,50668,52559,54031,54339,55646,56081,56289,56547,56637,56902,57314,57993,58545,59341,59691,59920
"Sedgemoor",50738,52517,53793,55415,56672,57221,58207,58926,59182,60139,60652,61608,62658,64384,65713,67005,67859,68446
"Sefton",105343,108118,110624,113460,115590,115056,116207,116613,116763,116464,115752,115464,116334,118002,119252,119984,121458,122052
"Selby",35669,36778,37627,38893,40257,40711,41792,42630,43389,43601,44293,44956,45505,46303,46999,47834,48555,49144
"Sevenoaks",58103,59144,59851,61037,62276,62470,63121,63733,64217,64907,65612,66112,66697,67271,67982,68824,68848,69329
"Sheffield",178229,183628,187899,192066,195930,196090,198132,199847,200959,201239,200938,200711,202267,205780,208881,212254,214206,216720
"Shepway",43175,44847,45888,47167,48077,47790,48373,48691,49025,49434,49611,49979,50574,51803,52994,53836,54614,55060
"Shetland Islands",8827,9179,9422,9640,9980,10054,10178,10428,10676,10902,11042,11165,11333,11528,11666,11735,11629,11542
"Shropshire",137374,141880,144736,149651,152989,154073,156026,157587,159610,160329,161390,162405,164264,167208,168072,170654,172809,174937
"Slough",101477,105391,113015,123530,125177,124753,127508,131890,138133,141967,149867,155992,153705,156983,161484,172736,167762,172657
"Solihull",175134,182015,193403,159303,190637,185700,187438,184426,161305,140816,190177,199489,154350,155306,163230,169408,159080,146909
"South Ayrshire",45265,46968,48048,49583,50981,51109,51693,52139,52292,52370,52164,52530,53005,53733,54090,54976,55555,55776
"South Bucks",35799,36377,36776,37611,38247,38520,40131,40770,41334,40658,41204,41966,42462,42903,43257,43548,43594,43822
"South Cambridgeshire",69663,71685,73779,75707,77614,78231,79414,80557,81397,82520,83636,84399,85422,87198,88502,90015,90685,91346
"South Derbyshire",39873,41702,42911,44802,46079,46347,47054,47729,48215,50197,51422,50160,51205,52430,53415,54478,55773,56858
"South Gloucestershire",120872,124772,136936,133634,134541,133897,134696,136376,140302,143615,139911,141402,143897,146273,148721,151440,239894,244946
"South Hams",42507,43588,44361,45637,46521,46491,46776,47040,47419,47735,47932,48124,48634,49119,49649,50047,50845,51324
"South Holland",38821,40378,42218,43454,44666,44838,45776,46343,46627,47078,47371,47657,48355,49461,50627,51871,52373,53038
"South Kesteven",58809,60233,62160,64082,65929,66395,67599,68364,68493,69170,69713,70806,71981,73550,75242,76843,77890,78432
"South Lakeland",49529,50625,52023,52807,53897,53927,54581,54708,54967,54913,54993,54958,55391,55965,56291,57018,57290,57565
"South Lanarkshire",111570,115169,118495,123615,127838,129353,132238,134856,136069,136355,137330,138482,139882,142878,144678,147278,149485,151478
"South Norfolk",58809,61148,62674,64011,65287,65530,66618,67822,69009,69996,70754,72138,73559,75648,77198,79044,80579,81614
"South Northamptonshire",41651,43562,44633,46500,47898,48042,48835,49330,49946,50428,51364,52276,53499,54725,55998,57227,60387,58518
"South Oxfordshire",67915,69573,70621,71984,73284,73344,74407,74848,75624,76232,77160,78034,78736,80316,81510,83022,83486,84266
"South Ribble",48895,50270,51539,52880,54263,54379,55015,55625,56165,55979,55990,56054,56521,57320,57892,58385,58789,59360
"South Somerset",77388,79687,80828,83403,85373,85995,87408,87957,88082,88517,89425,90235,91308,93362,95072,96711,98051,99060
"South Staffordshire",51782,53396,54131,55643,56948,57056,57583,58163,58762,59246,59240,59663,60446,61030,61620,61974,62251,62645
"South Tyneside",44405,46113,47258,49304,50972,51369,52261,53017,53397,53456,53223,53490,54241,55537,56356,57362,58470,59324
"Southampton",82947,84289,85223,87469,87978,86680,87886,88424,88172,88264,87330,87713,88959,91368,93231,95409,96310,96874
"Southend-on-Sea",66329,68273,69839,71199,72036,71839,72296,72733,72501,72694,72716,73562,74438,76225,77824,79481,80360,80768
"Southwark",59916,60990,60124,61408,61975,61261,60493,60551,59671,58739,57715,57095,56752,57253,57571,57835,57686,57331
"Spelthorne",50389,50280,50075,50705,51707,51716,52319,52573,52238,52651,53319,53836,54731,55455,55878,56183,54719,54925
"St Albans",65279,66683,68703,69240,70685,70932,71791,72268,72946,73398,74110,74377,75409,76382,77472,77810,77963,78181
"St Edmundsbury",48896,50018,50950,53223,54188,54226,54514,54765,55052,55348,55837,56460,56865,58049,59109,60288,60824,61355
"St. Helens",68156,70155,72675,73980,75625,75722,76339,77339,77483,77491,77185,77554,78393,80030,80901,82565,83625,84947
"Stafford",57123,59218,60554,62139,63867,64175,65002,65515,66008,66274,66173,66785,67785,68666,69739,70921,71639,72810
"Staffordshire Moorlands",45879,47328,48260,49612,50584,50719,51285,51568,51616,51897,51987,52519,52763,53475,53870,54272,54668,55063
"Stevenage",34141,34959,35190,36171,36651,35661,36193,36750,36803,37354,37703,38198,38708,39634,40443,41333,41606,41840
"Stirling",51873,41061,42051,43868,46850,47370,49781,51236,48556,48697,49556,50064,51265,52761,54170,55771,57004,58121
"Stockport",125311,128006,129946,133475,224327,220908,139941,142361,146201,150678,137904,138252,139825,142344,143303,143898,144371,145151
"Stockton-on-Tees",70041,73323,75509,78933,81212,82038,84091,85279,85302,85120,84373,84803,85888,87494,88439,89408,90410,91212
"Stoke-on-Trent",86273,89457,92126,95800,98608,98796,100686,101301,101097,100710,100254,100866,102505,104526,106509,108967,109948,110674
"Stratford-on-Avon",63113,64568,65683,67950,70176,70871,72004,72829,73365,73430,74563,75495,76394,77741,79112,80597,82494,83678
"Stroud",55666,57157,58003,59879,60925,61117,61803,62589,63263,63790,64387,65247,66371,67789,68974,69770,70562,71262
"Suffolk Coastal",59428,61575,62542,64521,66172,67015,68391,68861,69054,69357,69992,70558,71277,72727,73952,75482,76370,76877
"Sunderland",96506,97628,102092,105520,104439,103769,104204,105330,103135,102883,102311,102555,103701,105250,106958,109190,110125,111655
"Surrey Heath",46093,46721,47213,48208,49024,49331,50064,50759,51038,51653,52388,52650,52802,53316,53745,54593,54849,55014
"Sutton",77627,77323,77721,79490,80489,80551,81044,81625,81790,81859,82460,83096,83677,85034,86043,87045,87271,87346
"Swale",53755,55748,57337,59058,60387,60858,62078,62900,63805,64356,65090,66282,67217,69300,71116,72814,74025,74605
"Swansea",95703,100498,104690,111059,114612,115748,117764,118196,117169,118153,119678,120910,120202,120819,121736,124468,124710,126880
"Swindon",195141,176627,156258,133728,127667,121868,117791,125684,149043,153564,157706,156837,160919,176963,196524,229398,226763,231557
"Tameside",77077,79219,81282,83742,85949,86133,87454,88565,88939,88891,88327,88666,89687,91530,93343,94991,96170,97473
"Tamworth",31062,32115,40298,43717,44125,44017,48221,47209,45522,40943,43719,40570,36580,37234,37837,38342,38585,38971
"Tandridge",41544,42443,43244,44201,44923,45225,46083,46576,46722,47145,47635,48146,48742,49661,50102,50736,51191,51187
"Taunton Deane",48099,50153,50306,52308,53258,53381,54218,54808,55086,55452,55839,56507,57495,59086,60482,62038,63165,64183
"Teignbridge",58794,60833,62040,63954,65144,65451,66005,66538,66805,67167,67317,67904,69016,70489,71794,72988,73967,74760
"Telford and Wrekin",66843,69460,70831,73025,74827,75083,75611,76052,77198,76417,76582,77595,78644,80688,82415,84025,85584,87605
"Tendring",59761,61746,62856,64556,65055,65223,66276,66779,67284,67545,67795,68451,69154,71098,72511,74129,75355,76155
"Test Valley",56931,58848,59869,61775,63176,63504,64150,64651,65135,66069,66725,67648,69064,70743,72123,74302,75459,76351
"Tewkesbury",39341,40542,41281,42099,42871,43012,43487,43952,44831,45749,46182,46907,47952,49052,50134,51088,52309,53341
"Thanet",49929,51661,53069,54283,55048,55072,55443,55858,56241,56602,56965,57264,58044,59589,61156,62531,63291,63715
"The Vale of Glamorgan",52692,55297,57076,59259,60730,60809,61727,61954,62274,62420,62362,62527,63018,63822,64493,65591,66678,68070
"Three Rivers",42543,41832,42493,43640,44690,45089,45682,46324,46646,47256,47711,48216,48969,49563,50423,50987,51029,51081
"Thurrock",61753,63571,65212,67320,67992,68401,69738,70955,71365,71989,72460,73234,74788,76665,78897,80980,82022,82851
"Tonbridge and Malling",54077,55977,57456,58931,60416,61130,61903,62614,63384,64267,64802,65669,66875,68431,69766,71125,72175,72909
"Torbay",54723,56526,57672,59312,60552,60070,60837,61257,61390,61335,61414,61740,62155,63245,64497,65529,66435,66909
"Torfaen",37081,38930,39895,40829,41565,41804,42260,42637,42556,42528,42650,42875,43331,44173,44643,45382,46153,46993
"Torridge",27908,29182,30161,31341,32164,32410,32918,33246,33473,33712,33798,34269,34603,35251,35991,36827,37214,37473
"Tower Hamlets",36321,36864,37426,38662,39618,39755,40329,40897,41311,40977,40025,39234,39899,40619,42513,43598,44166,44039
"Trafford",208840,207104,205780,216114,139840,140319,152283,147202,139274,132024,127755,127530,129563,130909,131143,110684,111614,112075
"Tunbridge Wells",50788,51214,52127,52827,53844,54086,54759,55322,55902,56549,57106,57374,57804,58607,59346,60286,60613,60879
"Uttlesford",39011,40112,41057,42862,44202,43969,45388,46079,46058,46632,47406,48560,49639,50863,52175,53326,54709,55268
"Vale of White Horse",58146,59397,60048,61490,62682,62801,63531,63799,64449,65308,66049,67014,68026,69207,70769,72339,73524,74469
"Wakefield",120682,125254,128420,133680,137393,136831,138289,139927,140764,141158,141880,142958,144582,148020,150964,154982,158025,161416
"Walsall",95098,97719,98721,101810,104216,104609,105587,106434,106681,107583,107391,108304,109853,112795,115165,118043,119271,121126
"Waltham Forest",67889,68988,70145,71902,73316,73912,74531,75469,75194,74910,73989,73611,73831,75166,77347,78822,78797,78186
"Wandsworth",115400,106864,102052,98374,98970,98005,96899,95920,83767,83284,81678,80145,79851,79679,80159,80317,80137,79343
"Warrington",87754,90171,91795,96396,98745,98270,100270,101736,98727,99430,99986,100653,102122,104237,105341,107249,108115,108920
"Warwick",78572,77909,78789,71114,66865,66628,67647,68173,68822,68975,69217,69657,70207,71192,72398,73359,74144,75506
"Watford",67601,64571,55537,42266,42523,41884,40766,41249,41435,42238,43982,46627,49673,53289,57507,60974,61915,61264
"Waveney",49118,51081,52064,53482,54666,55037,55503,55398,55472,55509,55350,56029,56751,57821,58457,59422,59864,60343
"Waverley",62979,63751,64485,65883,66822,67232,68325,68936,69676,70245,70620,71213,71908,72878,73412,74394,74945,75496
"Wealden",76831,78841,79810,81915,83292,83270,84231,84761,85883,86417,87441,88860,89859,91986,93581,95137,95743,96517
"Wellingborough",35781,37079,38206,39714,35676,35948,36281,36684,36890,37224,37519,37921,38287,39025,39925,41063,41841,42212
"Welwyn Hatfield",45582,46249,46966,48305,49153,49508,50509,50665,51194,51640,51714,52150,52866,54141,55106,56336,56806,57056
"West Berkshire",91570,92703,95852,97795,99720,99732,100754,103193,104090,103970,104361,113000,117427,120318,121751,125925,107471,100043
"West Devon",24694,25681,26232,27034,27520,27989,28586,28993,29305,29725,29992,30206,30597,31054,31423,32087,32235,32339
"West Dorset",47472,48946,49604,51272,52434,52803,53520,53930,54529,54708,55099,55513,56161,57265,58229,59065,59739,60278
"West Dunbartonshire",29471,30501,30814,32072,34208,35328,35818,36383,36301,35159,34431,34636,35083,36186,36669,37554,38188,38560
"West Lancashire",48807,50283,51726,53218,54412,54357,55133,55634,55750,55619,55937,55992,56009,56471,56857,57552,58026,58479
"West Lindsey",38253,40344,41636,43359,44811,45389,46463,47039,47479,47643,47776,48276,48969,50087,50796,51596,51953,52530
"West Lothian",62712,65436,68042,70715,72982,73949,75379,76836,77315,77339,78200,78804,79873,82047,83476,85403,87042,87814
"West Oxfordshire",49136,50234,51657,52923,54361,55046,56159,56813,57453,57949,58720,59688,60329,61161,62042,62926,63363,63800
"West Somerset",16381,17080,17421,17994,18304,18397,18620,18685,18641,18610,18633,18582,18571,19021,19322,19641,19907,19992
"Westminster",59918,59714,59011,58185,58657,58108,57269,56082,54974,54120,53054,52104,51245,50756,50497,50428,51385,49731
"Weymouth and Portland",25896,26598,26853,27807,28249,28100,28407,28594,28690,28573,28531,28770,29231,29937,30570,31298,31700,31936
"Wigan",120953,124664,126461,130690,134019,134338,136346,137882,138409,138509,138049,138769,141514,143802,145364,147398,149097,151143
"Wiltshire",217074,224010,227873,234520,240681,241715,245569,248281,248019,250762,252764,256193,259949,266017,271506,277598,281295,284462
"Winchester",60171,56114,56956,58198,59724,61742,62839,63733,62043,62786,63534,64079,65065,66047,66617,67739,68247,68761
"Windsor and Maidenhead",73431,72715,73940,75093,76769,77214,78115,78837,79475,80487,81472,81918,82334,83609,84303,85152,85200,85603
"Wirral",124197,128547,131078,134694,138094,137837,139005,139774,140111,139960,139496,139778,141268,143876,145022,146842,148043,149408
"Woking",45516,45994,46703,47656,48744,49125,49770,50310,50805,51257,51570,52111,52886,53679,54333,55061,55227,55492
"Wokingham",77224,78889,80306,82522,84332,85630,86714,87593,88448,89090,89650,90563,97880,99271,94084,95141,96235,97726
"Wolverhampton",88172,91093,92295,95831,97970,97030,98495,99275,94652,94627,94649,95132,96353,99012,101456,104546,106703,107860
"Worcester",44239,43818,44586,44897,46190,45773,52600,53315,50810,50593,51396,51430,52713,52181,54013,56640,56917,56723
"Worthing",42991,44264,44983,45925,46572,46763,47291,47457,47660,47936,48153,48477,49081,50130,51181,52293,52795,53303
"Wrexham",53114,55444,56681,58677,60120,60469,61593,62185,62506,62815,63248,63946,64540,65610,66361,67288,67717,68341
"Wychavon",59839,61846,63052,64726,66253,66649,67344,68033,70809,72239,73675,77580,79396,83114,85119,88617,88935,88213
"Wycombe",98100,98450,96398,94594,96394,96018,96608,92830,91920,92671,93168,94100,95656,97913,99244,101662,101210,102056
"Wyre",47174,49071,50262,51909,53041,53031,53602,53884,53980,53997,54037,54311,54700,55317,55915,56652,57293,57833
"Wyre Forest",46308,47851,49051,50123,51252,50882,51490,51628,51764,51705,51713,52019,52461,53474,54209,55645,55520,56393
"York",70003,71440,72298,74882,76646,76853,77504,77935,78578,78770,79172,79782,80857,82052,82921,84279,85225,85308
NA,512550,536483,583979,714470,604842,668018,677003,564112,590135,684136,632733,679720,709205,567344,646374,631012,644170,708177
