"country","year","fuel","cars","AvgCO2_mean","AvgAge_mean"
"S",2001,"OTHER",1320,171.646459459459,4.54207485168901
"S",2001,"PETROL",1637448,172.189296713479,6.29906022847892
"S",2002,"DIESEL",323842,160.710070130836,5.41624315463724
"S",2002,"ELECTRIC DIESEL",1,NA,4.073753
"S",2002,"HYBRID ELECTRIC",32,116,1.91800459677419
"S",2002,"OTHER",1554,172.270901818182,5.26884155007944
"S",2002,"PETROL",1661259,172.013333568956,6.15888098154222
"S",2003,"DIESEL",358354,160.244760488798,5.35952990138289
"S",2003,"ELECTRIC DIESEL",2,NA,5.4125565
"S",2003,"HYBRID ELECTRIC",49,111.454545454545,2.50817181510204
"S",2003,"OTHER",1758,175.334930392157,5.94295721109375
"S",2003,"PETROL",1664836,171.139761422197,6.08808390471823
"S",2004,"DIESEL",395030,159.617002094165,5.22116169585433
"S",2004,"ELECTRIC DIESEL",1,NA,5.46595
"S",2004,"HYBRID ELECTRIC",115,107.267139361702,1.54435191243396
"S",2004,"OTHER",2006,184.170220285714,6.40141160001396
"S",2004,"PETROL",1675202,170.437154905063,6.06680089455225
"S",2005,"DIESEL",442672,159.974629745287,5.10991929896552
"S",2005,"ELECTRIC DIESEL",3,192,4.95009322
"S",2005,"HYBRID ELECTRIC",349,130.090329259259,1.15778182942857
"S",2005,"OTHER",2212,188.370487368421,6.98233866381496
"S",2005,"PETROL",1689497,169.959224461362,6.1421602292893
"S",2006,"DIESEL",484257,160.619314843526,5.01039679535084
"S",2006,"ELECTRIC DIESEL",3,192,5.95009333333333
"S",2006,"HYBRID ELECTRIC",769,135.721625865209,1.315650651675
"S",2006,"OTHER",2477,196.919596502385,7.60274597273239
"S",2006,"PETROL",1665170,169.500254806313,6.23062916738382
"S",2007,"DIESEL",531531,161.121514740465,4.99381789121147
"S",2007,"ELECTRIC DIESEL",3,192,6.94803366666667
"S",2007,"HYBRID ELECTRIC",1423,131.823718340611,1.51345809958963
"S",2007,"OTHER",2672,204.506465521628,8.16521988635897
"S",2007,"PETROL",1661373,168.874951197133,6.3463700521789
"S",2008,"DIESEL",576516,160.84240359805,5.04134882937213
"S",2008,"ELECTRIC DIESEL",3,192,7.950093
"S",2008,"HYBRID ELECTRIC",2183,131.904126691729,1.87646641607755
"S",2008,"OTHER",2916,214.709628529698,8.4902989207533
"S",2008,"PETROL",1648182,167.987852895642,6.4794349430906
"S",2009,"DIESEL",625435,159.856800315412,5.09171878297018
"S",2009,"ELECTRIC DIESEL",1,192,4.021049
"S",2009,"HYBRID ELECTRIC",2956,128.117197743972,2.18963536764971
"S",2009,"OTHER",2897,217.068789323843,9.07227177314554
